
2025-11-25 21:29:14,123 - [RAMAF] Reinstalled flow-table entry for (1, '10.0.2.10', '10.0.10.10', 6, 46336, 5001)
2025-11-25 21:29:14,129 - [RAMAF] Network healthy -> re-admitted flow (1, '10.0.2.10', '10.0.10.10', 6, 46336, 5001)
2025-11-25 21:29:15,416 - [RAMAF] Reinstalled flow-table entry for (1, '10.0.4.10', '10.0.10.10', 6, 54054, 5001)
2025-11-25 21:29:15,419 - [RAMAF] Network healthy -> re-admitted flow (1, '10.0.4.10', '10.0.10.10', 6, 54054, 5001)
2025-11-25 21:29:17,265 - [RAMAF] Reinstalled flow-table entry for (1, '10.0.2.10', '10.0.10.10', 6, 46298, 5001)
2025-11-25 21:29:17,270 - [RAMAF] Network healthy -> re-admitted flow (1, '10.0.2.10', '10.0.10.10', 6, 46298, 5001)
2025-11-25 21:29:18,612 - [RAMAF] Reinstalled flow-table entry for (1, '10.0.1.10', '10.0.10.10', 6, 48102, 5001)
2025-11-25 21:29:18,615 - [RAMAF] Network healthy -> re-admitted flow (1, '10.0.1.10', '10.0.10.10', 6, 48102, 5001)
2025-11-25 21:29:19,940 - [RAMAF] Reinstalled flow-table entry for (1, '10.0.2.10', '10.0.10.10', 6, 46344, 5001)
2025-11-25 21:29:19,943 - [RAMAF] Network healthy -> re-admitted flow (1, '10.0.2.10', '10.0.10.10', 6, 46344, 5001)
2025-11-25 21:29:21,313 - [RAMAF] Reinstalled flow-table entry for (1, '10.0.4.10', '10.0.10.10', 6, 53990, 5001)
2025-11-25 21:29:21,321 - [RAMAF] Network healthy -> re-admitted flow (1, '10.0.4.10', '10.0.10.10', 6, 53990, 5001)
2025-11-25 21:29:22,669 - [RAMAF] Reinstalled flow-table entry for (1, '10.0.2.10', '10.0.10.10', 6, 46324, 5001)
2025-11-25 21:29:22,671 - [RAMAF] Network healthy -> re-admitted flow (1, '10.0.2.10', '10.0.10.10', 6, 46324, 5001)
2025-11-25 21:29:24,148 - [RAMAF] Reinstalled flow-table entry for (1, '10.0.3.10', '10.0.10.10', 6, 35318, 5001)
2025-11-25 21:29:24,149 - [RAMAF] Network healthy -> re-admitted flow (1, '10.0.3.10', '10.0.10.10', 6, 35318, 5001)
2025-11-25 21:29:25,550 - [RAMAF] Reinstalled flow-table entry for (1, '10.0.2.10', '10.0.10.10', 6, 46282, 5001)
2025-11-25 21:29:25,555 - [RAMAF] Network healthy -> re-admitted flow (1, '10.0.2.10', '10.0.10.10', 6, 46282, 5001)
2025-11-25 21:29:26,912 - [RAMAF] Congested: fair_rate=2.54Mbps priority_load=0.03
